------------------------------------------------------------
 Ids vs Vds
------------------------------------------------------------
Vds (V) (#1), Ids (A) (#1)
                 2.4,           0.00114639
                 2.5,           0.00114639
                 2.6,           0.00114639
                 2.7,           0.00114639
                 2.8,           0.00114639
                 2.9,           0.00114639
                   3,           0.00114639
                 3.1,           0.00114639
                 3.2,           0.00114639
                 3.3,           0.00114639
                 3.4,           0.00114639
                 3.5,           0.00114639
                 3.6,           0.00114639
                 3.7,           0.00114639
                 3.8,           0.00114639
                 3.9,           0.00114639
                   4,           0.00114639
                 4.1,           0.00114639
                 4.2,           0.00114639
                 4.3,           0.00114639
                 4.4,           0.00114639
                 4.5,           0.00114639
                 4.6,           0.00114639
                 4.7,           0.00114639
                 4.8,           0.00114639
                 4.9,           0.00114639
                   5,           0.00114639
                 5.1,           0.00114639
                 5.2,           0.00114639
                 5.3,           0.00114639
                 5.4,           0.00114639
                 5.5,           0.00114639
                 5.6,           0.00114639
                 5.7,           0.00114639
                 5.8,           0.00114639
                 5.9,           0.00114639
                   6,           0.00114639
                 6.1,           0.00114639
                 6.2,           0.00114639
                 6.3,           0.00114639
                 6.4,           0.00114639
                 6.5,           0.00114639
                 6.6,           0.00114639
                 6.7,           0.00114639
                 6.8,           0.00114639
                 6.9,           0.00114639
                   7,           0.00114639
                 7.1,           0.00114639
                 7.2,           0.00114639
                 7.3,           0.00114639
                 7.4,           0.00114639
                 7.5,           0.00114639
                 7.6,           0.00114639
                 7.7,           0.00114639
                 7.8,           0.00114639
                 7.9,           0.00114639
                   8,           0.00114639
                 8.1,           0.00114639
                 8.2,           0.00114639
                 8.3,           0.00114639
                 8.4,           0.00114639
                 8.5,           0.00114639
                 8.6,           0.00114639
                 8.7,           0.00114639
                 8.8,           0.00114639
                 8.9,           0.00114639
                   9,           0.00114639
                 9.1,           0.00114639
                 9.2,           0.00114639
                 9.3,           0.00114639
                 9.4,           0.00114639
                 9.5,           0.00114639
                 9.6,           0.00114639
                 9.7,           0.00114639
                 9.8,           0.00114639
                 9.9,           0.00114639
                  10,           0.00114639

------------------------------------------------------------
 Gds vs Vds
------------------------------------------------------------
Vds (V) (#2), Gds (S) (#2)
                   0,           0.00195208
                 0.1,           0.00176493
                 0.2,           0.00158446
                 0.3,            0.0014101
                 0.4,           0.00124141
                 0.5,           0.00107805
                 0.6,          0.000919744
                 0.7,          0.000766371
                 0.8,          0.000617937
                 0.9,          0.000474691
                   1,          0.000337329
                 1.1,          0.000207598
                 1.2,          9.10095e-05
                 1.3,           1.4658e-05
                 1.4,          4.58606e-07
                 1.5,          9.70301e-09
                 1.6,          2.02846e-10
                 1.7,          4.23952e-12
                 1.8,          8.86055e-14
                 1.9,          1.85117e-15
                   2,          3.73705e-17
                 2.1,                   -0
                 2.2,         -1.33466e-18
                 2.3,         -1.33466e-18
                 2.4,         -1.33466e-18
                 2.5,         -1.33466e-18
                 2.6,         -1.33466e-18
                 2.7,         -1.33466e-18
                 2.8,         -1.33466e-18
                 2.9,         -1.33466e-18
                   3,         -1.33466e-18
                 3.1,         -1.33466e-18
                 3.2,         -1.33466e-18
                 3.3,         -1.33466e-18
                 3.4,         -1.33466e-18
                 3.5,         -1.33466e-18
                 3.6,         -1.33466e-18
                 3.7,         -1.33466e-18
                 3.8,         -1.33466e-18
                 3.9,         -1.33466e-18
                   4,         -1.33466e-18
                 4.1,         -1.33466e-18
                 4.2,         -1.33466e-18
                 4.3,         -1.33466e-18
                 4.4,         -1.33466e-18
                 4.5,         -1.33466e-18
                 4.6,         -1.33466e-18
                 4.7,         -1.33466e-18
                 4.8,         -1.33466e-18
                 4.9,         -1.33466e-18
                   5,         -1.33466e-18
                 5.1,         -1.33466e-18
                 5.2,         -1.33466e-18
                 5.3,         -1.33466e-18
                 5.4,         -1.33466e-18
                 5.5,         -1.33466e-18
                 5.6,         -1.33466e-18
                 5.7,         -1.33466e-18
                 5.8,         -1.33466e-18
                 5.9,         -1.33466e-18
                   6,         -1.33466e-18
                 6.1,         -1.33466e-18
                 6.2,         -1.33466e-18
                 6.3,         -1.33466e-18
                 6.4,         -1.33466e-18
                 6.5,         -1.33466e-18
                 6.6,         -1.33466e-18
                 6.7,         -1.33466e-18
                 6.8,         -1.33466e-18
                 6.9,         -1.33466e-18
                   7,         -1.33466e-18
                 7.1,         -1.33466e-18
                 7.2,         -1.33466e-18
                 7.3,         -1.33466e-18
                 7.4,         -1.33466e-18
                 7.5,         -1.33466e-18
                 7.6,         -1.33466e-18
                 7.7,         -1.33466e-18
                 7.8,         -1.33466e-18
                 7.9,         -1.33466e-18
                   8,         -1.33466e-18
                 8.1,         -1.33466e-18
                 8.2,         -1.33466e-18
                 8.3,         -1.33466e-18
                 8.4,         -1.33466e-18
                 8.5,         -1.33466e-18
                 8.6,         -1.33466e-18
                 8.7,         -1.33466e-18
                 8.8,         -1.33466e-18
                 8.9,         -1.33466e-18
                   9,         -1.33466e-18
                 9.1,         -1.33466e-18
                 9.2,         -1.33466e-18
                 9.3,         -1.33466e-18
                 9.4,         -1.33466e-18
                 9.5,         -1.33466e-18
                 9.6,         -1.33466e-18
                 9.7,         -1.33466e-18
                 9.8,         -1.33466e-18
                 9.9,         -1.33466e-18
                  10,         -1.33466e-18

------------------------------------------------------------
 Ids vs Vds
------------------------------------------------------------
Vds (V) (#3), Ids (A) (#3)
                   0,                    0
                 0.1,          9.97462e-05
                 0.2,          0.000183919
                 0.3,          0.000253017
                 0.4,          0.000307556
                 0.5,          0.000348104
                 0.6,           0.00037537
                 0.7,          0.000390367
                 0.8,          0.000395156
                 0.9,          0.000395599
                   1,           0.00039561
                 1.1,           0.00039561
                 1.2,           0.00039561
                 1.3,           0.00039561
                 1.4,           0.00039561
                 1.5,           0.00039561
                 1.6,           0.00039561
                 1.7,           0.00039561
                 1.8,           0.00039561
                 1.9,           0.00039561
                   2,           0.00039561
                 2.1,           0.00039561
                 2.2,           0.00039561
                 2.3,           0.00039561
                 2.4,           0.00039561
                 2.5,           0.00039561
                 2.6,           0.00039561
                 2.7,           0.00039561
                 2.8,           0.00039561
                 2.9,           0.00039561
                   3,           0.00039561
                 3.1,           0.00039561
                 3.2,           0.00039561
                 3.3,           0.00039561
                 3.4,           0.00039561
                 3.5,           0.00039561
                 3.6,           0.00039561
                 3.7,           0.00039561
                 3.8,           0.00039561
                 3.9,           0.00039561
                   4,           0.00039561
                 4.1,           0.00039561
                 4.2,           0.00039561
                 4.3,           0.00039561
                 4.4,           0.00039561
                 4.5,           0.00039561
                 4.6,           0.00039561
                 4.7,           0.00039561
                 4.8,           0.00039561
                 4.9,           0.00039561
                   5,           0.00039561
                 5.1,           0.00039561
                 5.2,           0.00039561
                 5.3,           0.00039561
                 5.4,           0.00039561
                 5.5,           0.00039561
                 5.6,           0.00039561
                 5.7,           0.00039561
                 5.8,           0.00039561
                 5.9,           0.00039561
                   6,           0.00039561
                 6.1,           0.00039561
                 6.2,           0.00039561
                 6.3,           0.00039561
                 6.4,           0.00039561
                 6.5,           0.00039561
                 6.6,           0.00039561
                 6.7,           0.00039561
                 6.8,           0.00039561
                 6.9,           0.00039561
                   7,           0.00039561
                 7.1,           0.00039561
                 7.2,           0.00039561
                 7.3,           0.00039561
                 7.4,           0.00039561
                 7.5,           0.00039561
                 7.6,           0.00039561
                 7.7,           0.00039561
                 7.8,           0.00039561
                 7.9,           0.00039561
                   8,           0.00039561
                 8.1,           0.00039561
                 8.2,           0.00039561
                 8.3,           0.00039561
                 8.4,           0.00039561
                 8.5,           0.00039561
                 8.6,           0.00039561
                 8.7,           0.00039561
                 8.8,           0.00039561
                 8.9,           0.00039561
                   9,           0.00039561
                 9.1,           0.00039561
                 9.2,           0.00039561
                 9.3,           0.00039561
                 9.4,           0.00039561
                 9.5,           0.00039561
                 9.6,           0.00039561
                 9.7,           0.00039561
                 9.8,           0.00039561
                 9.9,           0.00039561
                  10,           0.00039561

------------------------------------------------------------
 Gds vs Vds
------------------------------------------------------------
Vds (V) (#3), Gds (S) (#3)
                   0,           0.00107805
                 0.1,          0.000919744
                 0.2,          0.000766371
                 0.3,          0.000617937
                 0.4,          0.000474691
                 0.5,          0.000337329
                 0.6,          0.000207598
                 0.7,          9.10095e-05
                 0.8,           1.4658e-05
                 0.9,          4.58606e-07
                   1,          9.70301e-09
                 1.1,          2.02846e-10
                 1.2,          4.23952e-12
                 1.3,          8.86055e-14
                 1.4,          1.85117e-15
                 1.5,          3.73705e-17
                 1.6,                   -0
                 1.7,         -1.33466e-18
                 1.8,         -1.33466e-18
                 1.9,         -1.33466e-18
                   2,         -1.33466e-18
                 2.1,         -1.33466e-18
                 2.2,         -1.33466e-18
                 2.3,         -1.33466e-18
                 2.4,         -1.33466e-18
                 2.5,         -1.33466e-18
                 2.6,         -1.33466e-18
                 2.7,         -1.33466e-18
                 2.8,         -1.33466e-18
                 2.9,         -1.33466e-18
                   3,         -1.33466e-18
                 3.1,         -1.33466e-18
                 3.2,         -1.33466e-18
                 3.3,         -1.33466e-18
                 3.4,         -1.33466e-18
                 3.5,         -1.33466e-18
                 3.6,         -1.33466e-18
                 3.7,         -1.33466e-18
                 3.8,         -1.33466e-18
                 3.9,         -1.33466e-18
                   4,         -1.33466e-18
                 4.1,         -1.33466e-18
                 4.2,         -1.33466e-18
                 4.3,         -1.33466e-18
                 4.4,         -1.33466e-18
                 4.5,         -1.33466e-18
                 4.6,         -1.33466e-18
                 4.7,         -1.33466e-18
                 4.8,         -1.33466e-18
                 4.9,         -1.33466e-18
                   5,         -1.33466e-18
                 5.1,         -1.33466e-18
                 5.2,         -1.33466e-18
                 5.3,         -1.33466e-18
                 5.4,         -1.33466e-18
                 5.5,         -1.33466e-18
                 5.6,         -1.33466e-18
                 5.7,         -1.33466e-18
                 5.8,         -1.33466e-18
                 5.9,         -1.33466e-18
                   6,         -1.33466e-18
                 6.1,         -1.33466e-18
                 6.2,         -1.33466e-18
                 6.3,         -1.33466e-18
                 6.4,         -1.33466e-18
                 6.5,         -1.33466e-18
                 6.6,         -1.33466e-18
                 6.7,         -1.33466e-18
                 6.8,         -1.33466e-18
                 6.9,         -1.33466e-18
                   7,         -1.33466e-18
                 7.1,         -1.33466e-18
                 7.2,         -1.33466e-18
                 7.3,         -1.33466e-18
                 7.4,         -1.33466e-18
                 7.5,         -1.33466e-18
                 7.6,         -1.33466e-18
                 7.7,         -1.33466e-18
                 7.8,         -1.33466e-18
                 7.9,         -1.33466e-18
                   8,         -1.33466e-18
                 8.1,         -1.33466e-18
                 8.2,         -1.33466e-18
                 8.3,         -1.33466e-18
                 8.4,         -1.33466e-18
                 8.5,         -1.33466e-18
                 8.6,         -1.33466e-18
                 8.7,         -1.33466e-18
                 8.8,         -1.33466e-18
                 8.9,         -1.33466e-18
                   9,         -1.33466e-18
                 9.1,         -1.33466e-18
                 9.2,         -1.33466e-18
                 9.3,         -1.33466e-18
                 9.4,         -1.33466e-18
                 9.5,         -1.33466e-18
                 9.6,         -1.33466e-18
                 9.7,         -1.33466e-18
                 9.8,         -1.33466e-18
                 9.9,         -1.33466e-18
                  10,         -1.33466e-18

------------------------------------------------------------
 Ids vs Vds
------------------------------------------------------------
Vds (V) (#4), Ids (A) (#4)
                   0,                    0
                 0.1,          2.72653e-05
                 0.2,          4.22628e-05
                 0.3,          4.70516e-05
                 0.4,          4.74941e-05
                 0.5,          4.75058e-05
                 0.6,          4.75061e-05
                 0.7,          4.75061e-05
                 0.8,          4.75061e-05
                 0.9,          4.75061e-05
                   1,          4.75061e-05
                 1.1,          4.75061e-05
                 1.2,          4.75061e-05
                 1.3,          4.75061e-05
                 1.4,          4.75061e-05
                 1.5,          4.75061e-05
                 1.6,          4.75061e-05
                 1.7,          4.75061e-05
                 1.8,          4.75061e-05
                 1.9,          4.75061e-05
                   2,          4.75061e-05
                 2.1,          4.75061e-05
                 2.2,          4.75061e-05
                 2.3,          4.75061e-05
                 2.4,          4.75061e-05
                 2.5,          4.75061e-05
                 2.6,          4.75061e-05
                 2.7,          4.75061e-05
                 2.8,          4.75061e-05
                 2.9,          4.75061e-05
                   3,          4.75061e-05
                 3.1,          4.75061e-05
                 3.2,          4.75061e-05
                 3.3,          4.75061e-05
                 3.4,          4.75061e-05
                 3.5,          4.75061e-05
                 3.6,          4.75061e-05
                 3.7,          4.75061e-05
                 3.8,          4.75061e-05
                 3.9,          4.75061e-05
                   4,          4.75061e-05
                 4.1,          4.75061e-05
                 4.2,          4.75061e-05
                 4.3,          4.75061e-05
                 4.4,          4.75061e-05
                 4.5,          4.75061e-05
                 4.6,          4.75061e-05
                 4.7,          4.75061e-05
                 4.8,          4.75061e-05
                 4.9,          4.75061e-05
                   5,          4.75061e-05
                 5.1,          4.75061e-05
                 5.2,          4.75061e-05
                 5.3,          4.75061e-05
                 5.4,          4.75061e-05
                 5.5,          4.75061e-05
                 5.6,          4.75061e-05
                 5.7,          4.75061e-05
                 5.8,          4.75061e-05
                 5.9,          4.75061e-05
                   6,          4.75061e-05
                 6.1,          4.75061e-05
                 6.2,          4.75061e-05
                 6.3,          4.75061e-05
                 6.4,          4.75061e-05
                 6.5,          4.75061e-05
                 6.6,          4.75061e-05
                 6.7,          4.75061e-05
                 6.8,          4.75061e-05
                 6.9,          4.75061e-05
                   7,          4.75061e-05
                 7.1,          4.75061e-05
                 7.2,          4.75061e-05
                 7.3,          4.75061e-05
                 7.4,          4.75061e-05
                 7.5,          4.75061e-05
                 7.6,          4.75061e-05
                 7.7,          4.75061e-05
                 7.8,          4.75061e-05
                 7.9,          4.75061e-05
                   8,          4.75061e-05
                 8.1,          4.75061e-05
                 8.2,          4.75061e-05
                 8.3,          4.75061e-05
                 8.4,          4.75061e-05
                 8.5,          4.75061e-05
                 8.6,          4.75061e-05
                 8.7,          4.75061e-05
                 8.8,          4.75061e-05
                 8.9,          4.75061e-05
                   9,          4.75061e-05
                 9.1,          4.75061e-05
                 9.2,          4.75061e-05
                 9.3,          4.75061e-05
                 9.4,          4.75061e-05
                 9.5,          4.75061e-05
                 9.6,          4.75061e-05
                 9.7,          4.75061e-05
                 9.8,          4.75061e-05
                 9.9,          4.75061e-05
                  10,          4.75061e-05

------------------------------------------------------------
 Gds vs Vds
------------------------------------------------------------
Vds (V) (#4), Gds (S) (#4)
                   0,          0.000337329
                 0.1,          0.000207598
                 0.2,          9.10095e-05
                 0.3,           1.4658e-05
                 0.4,          4.58606e-07
                 0.5,          9.70301e-09
                 0.6,          2.02846e-10
                 0.7,          4.23952e-12
                 0.8,          8.86055e-14
                 0.9,          1.85117e-15
                   1,          3.73705e-17
                 1.1,                   -0
                 1.2,         -1.33466e-18
                 1.3,         -1.33466e-18
                 1.4,         -1.33466e-18
                 1.5,         -1.33466e-18
                 1.6,         -1.33466e-18
                 1.7,         -1.33466e-18
                 1.8,         -1.33466e-18
                 1.9,         -1.33466e-18
                   2,         -1.33466e-18
                 2.1,         -1.33466e-18
                 2.2,         -1.33466e-18
                 2.3,         -1.33466e-18
                 2.4,         -1.33466e-18
                 2.5,         -1.33466e-18
                 2.6,         -1.33466e-18
                 2.7,         -1.33466e-18
                 2.8,         -1.33466e-18
                 2.9,         -1.33466e-18
                   3,         -1.33466e-18
                 3.1,         -1.33466e-18
                 3.2,         -1.33466e-18
                 3.3,         -1.33466e-18
                 3.4,         -1.33466e-18
                 3.5,         -1.33466e-18
                 3.6,         -1.33466e-18
                 3.7,         -1.33466e-18
                 3.8,         -1.33466e-18
                 3.9,         -1.33466e-18
                   4,         -1.33466e-18
                 4.1,         -1.33466e-18
                 4.2,         -1.33466e-18
                 4.3,         -1.33466e-18
                 4.4,         -1.33466e-18
                 4.5,         -1.33466e-18
                 4.6,         -1.33466e-18
                 4.7,         -1.33466e-18
                 4.8,         -1.33466e-18
                 4.9,         -1.33466e-18
                   5,         -1.33466e-18
                 5.1,         -1.33466e-18
                 5.2,         -1.33466e-18
                 5.3,         -1.33466e-18
                 5.4,         -1.33466e-18
                 5.5,         -1.33466e-18
                 5.6,         -1.33466e-18
                 5.7,         -1.33466e-18
                 5.8,         -1.33466e-18
                 5.9,         -1.33466e-18
                   6,         -1.33466e-18
                 6.1,         -1.33466e-18
                 6.2,         -1.33466e-18
                 6.3,         -1.33466e-18
                 6.4,         -1.33466e-18
                 6.5,         -1.33466e-18
                 6.6,         -1.33466e-18
                 6.7,         -1.33466e-18
                 6.8,         -1.33466e-18
                 6.9,         -1.33466e-18
                   7,         -1.33466e-18
                 7.1,         -1.33466e-18
                 7.2,         -1.33466e-18
                 7.3,         -1.33466e-18
                 7.4,         -1.33466e-18
                 7.5,         -1.33466e-18
                 7.6,         -1.33466e-18
                 7.7,         -1.33466e-18
